d,x,y,,,,,,,,,,,,,,,,,,
9779,2.33,0.21,,,,,,,,,,,,,,,,,RHOB,PHIE
9780,2.34,0.19,,,,,,,,,,,,,,,,,2.355535714,0.161892857
9781,2.31,0.17,,,,,,,,,,,,,,,,,0.050293748,0.029396363
9782,2.38,0.13,,,,,,,,,,,,,,,,,,
9783,2.43,0.15,,,,,,,,,,,,,,,,,,
9784,2.38,0.16,,,,,,,,,,,,,,,,,,
9785,2.39,0.11,,,,,,,,,,,,,,,,,,
9787,2.47,0.09,,,,,,,,,,,,,,,,,,
9788,2.42,0.13,,,,,,,,,,,,,,,,,,
9789,2.44,0.11,,,,,,,,,,,,,,,,,,
9790,2.47,0.1,,,,,,,,,,,,,,,,,,
9791,2.46,0.11,,,,,,,,,,,,,,,,,,
9792,2.44,0.12,,,,,,,,,,,,,,,,,,
9793,2.46,0.1,,,,,,,,,,,,,,,,,,
9794,2.41,0.15,,,,,,,,,,,,,,,,,,
9795,2.36,0.15,,,,,,,,,,,,,,,,,,
9796,2.41,0.13,,,,,,,,,,,,,,,,,,
9797,2.41,0.14,,,,,,,,,,,,,,,,,,
9798,2.41,0.13,,,,,,,,,,,,,,,,,,
9799,2.46,0.11,,,,,,,,,,,,,,,,,,
9800,2.39,0.15,,,,,,,,,,,,,,,,,,
9801,2.36,0.15,,,,,,,,,,,,,,,,,,
9802,2.39,0.13,,,,,,,,,,,,,,,,,,
9803,2.41,0.14,,,,,,,,,,,,,,,,,,
9804,2.41,0.14,,,,,,,,,,,,,,,,,,
9805,2.36,0.14,,,,,,,,,,,,,,,,,,
9806,2.36,0.14,,,,,,,,,,,,,,,,,,
9807,2.38,0.14,,,,,,,,,,,,,,,,,,
9808,2.44,0.09,,,,,,,,,,,,,,,,,,
9809,2.44,0.1,,,,,,,,,,,,,,,,,,
9810,2.34,0.18,,,,,,,,,,,,,,,,,,
9811,2.31,0.19,,,,,,,,,,,,,,,,,,
9812,2.37,0.12,,,,,,,,,,,,,,,,,,
9815,2.35,0.19,,,,,,,,,,,,,,,,,,
9816,2.29,0.21,,,,,,,,,,,,,,,,,,
9817,2.35,0.18,,,,,,,,,,,,,,,,,,
9818,2.37,0.17,,,,,,,,,,,,,,,,,,
9819,2.37,0.17,,,,,,,,,,,,,,,,,,
9820,2.38,0.17,,,,,,,,,,,,,,,,,,
9821,2.3,0.2,,,,,,,,,,,,,,,,,,
9822,2.32,0.18,,,,,,,,,,,,,,,,,,
9823,2.39,0.16,,,,,,,,,,,,,,,,,,
9824,2.29,0.19,,,,,,,,,,,,,,,,,,
9825,2.31,0.2,,,,,,,,,,,,,,,,,,
9826,2.31,0.2,,,,,,,,,,,,,,,,,,
9827,2.27,0.22,,,,,,,,,,,,,,,,,,
9828,2.27,0.22,,,,,,,,,,,,,,,,,,
9829,2.26,0.21,,,,,,,,,,,,,,,,,,
9830,2.32,0.14,,,,,,,,,,,,,,,,,,
9831,2.41,0.1,,,,,,,,,,,,,,,,,,
9832,2.36,0.13,,,,,,,,,,,,,,,,,,
9837,2.5,0.07,,,,,,,,,,,,,,,,,,
9838,2.39,0.16,,,,,,,,,,,,,,,,,,
9839,2.32,0.19,,,,,,,,,,,,,,,,,,
9840,2.29,0.2,,,,,,,,,,,,,,,,,,
9841,2.29,0.2,,,,,,,,,,,,,,,,,,
9842,2.3,0.21,,,,,,,,,,,,,,,,,,
9843,2.34,0.18,,,,,,,,,,,,,,,,,,
9844,2.36,0.16,,,,,,,,,,,,,,,,,,
9845,2.37,0.17,,,,,,,,,,,,,,,,,,
9846,2.34,0.17,,,,,,,,,,,,,,,,,,
9847,2.38,0.15,,,,,,,,,,,,,,,,,,
9848,2.37,0.16,,,,,,,,,,,,,,,,,,
9849,2.35,0.17,,,,,,,,,,,,,,,,,,
9850,2.37,0.16,,,,,,,,,,,,,,,,,,
9851,2.33,0.17,,,,,,,,,,,,,,,,,,
9852,2.35,0.16,,,,,,,,,,,,,,,,,,
9853,2.39,0.14,,,,,,,,,,,,,,,,,,
9854,2.32,0.18,,,,,,,,,,,,,,,,,,
9855,2.32,0.18,,,,,,,,,,,,,,,,,,
9856,2.34,0.17,,,,,,,,,,,,,,,,,,
9857,2.31,0.2,,,,,,,,,,,,,,,,,,
9858,2.28,0.2,,,,,,,,,,,,,,,,,,
9859,2.33,0.17,,,,,,,,,,,,,,,,,,
9860,2.42,0.12,,,,,,,,,,,,,,,,,,
9861,2.46,0.13,,,,,,,,,,,,,,,,,,
9862,2.29,0.2,,,,,,,,,,,,,,,,,,
9863,2.26,0.21,,,,,,,,,,,,,,,,,,
9864,2.31,0.2,,,,,,,,,,,,,,,,,,
9865,2.3,0.2,,,,,,,,,,,,,,,,,,
9866,2.3,0.18,,,,,,,,,,,,,,,,,,
9867,2.38,0.14,,,,,,,,,,,,,,,,,,
9868,2.38,0.15,,,,,,,,,,,,,,,,,,
9869,2.31,0.18,,,,,,,,,,,,,,,,,,
9870,2.31,0.19,,,,,,,,,,,,,,,,,,
9871,2.31,0.19,,,,,,,,,,,,,,,,,,
9872,2.31,0.17,,,,,,,,,,,,,,,,,,
9873,2.42,0.11,,,,,,,,,,,,,,,,,,
9874,2.55,0.04,,,,,,,,,,,,,,,,,,
9875,2.58,0.03,,,,,,,,,,,,,,,,,,
9876,2.57,0.04,,,,,,,,,,,,,,,,,,
9877,2.53,0.07,,,,,,,,,,,,,,,,,,
9878,2.51,0.08,,,,,,,,,,,,,,,,,,
9879,2.5,0.09,,,,,,,,,,,,,,,,,,
